step,hour,day,timestamp,wind_speed_m_per_s,wind_dir_deg,fire_front_cells,fire_affected_cells,failed_buses,failed_lines,grid_served_mw,customers_connected,customers_disconnected,saidi_minutes,min_bus_vm_pu,mean_bus_vm_pu,pf_converged,fire_burned_cells
72,72.0,3.0,2025-01-10T00:00:00,13.2,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,387.34841464295675,0.9836486359956212,1.0116271439491362,1.0,166372
73,73.0,3.0416666666666665,2025-01-10T01:00:00,5.854415587728428,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,393.64341880542435,0.9836486359956211,1.0116271439491362,1.0,166372
74,74.0,3.0833333333333335,2025-01-10T02:00:00,5.28230854637602,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,399.93842296789194,0.983648635995621,1.0116271439491362,1.0,166372
75,75.0,3.125,2025-01-10T03:00:00,4.9226670253593525,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,406.2334271303596,0.9836486359956209,1.0116271439491362,1.0,166372
76,76.0,3.1666666666666665,2025-01-10T04:00:00,4.8,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,412.5284312928272,0.9836486359956208,1.0116271439491362,1.0,166372
77,77.0,3.2083333333333335,2025-01-10T05:00:00,4.922667025359354,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,418.8234354552948,0.9836486359956207,1.0116271439491362,1.0,166372
78,78.0,3.25,2025-01-10T06:00:00,5.28230854637602,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,425.1184396177624,0.9836486359956206,1.0116271439491362,1.0,166372
79,79.0,3.2916666666666665,2025-01-10T07:00:00,5.854415587728429,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,431.41344378023007,0.9836486359956205,1.0116271439491362,1.0,166372
80,80.0,3.3333333333333335,2025-01-10T08:00:00,6.6,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,437.70844794269766,0.9836486359956204,1.0116271439491362,1.0,166372
81,81.0,3.375,2025-01-10T09:00:00,7.468251437630925,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,444.00345210516525,0.9836486359956202,1.0116271439491362,1.0,166372
82,82.0,3.4166666666666665,2025-01-10T10:00:00,8.399999999999999,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,450.2984562676329,0.9836486359956201,1.0116271439491362,1.0,166372
83,83.0,3.4583333333333335,2025-01-10T11:00:00,9.331748562369075,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,456.5934604301005,0.98364863599562,1.0116271439491362,1.0,166372
84,84.0,3.5,2025-01-10T12:00:00,10.2,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,462.88846459256814,0.9836486359956199,1.0116271439491362,1.0,166372
85,85.0,3.5416666666666665,2025-01-10T13:00:00,10.945584412271572,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,469.18346875503573,0.9836486359956198,1.0116271439491362,1.0,166372
86,86.0,3.5833333333333335,2025-01-10T14:00:00,11.517691453623979,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,475.4784729175034,0.9836486359956197,1.0116271439491362,1.0,166372
87,87.0,3.625,2025-01-10T15:00:00,11.877332974640645,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,481.773477079971,0.9836486359956196,1.0116271439491362,1.0,166372
88,88.0,3.6666666666666665,2025-01-10T16:00:00,12.0,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,488.06848124243857,0.9836486359956195,1.0116271439491362,1.0,166372
89,89.0,3.7083333333333335,2025-01-10T17:00:00,11.877332974640645,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,494.3634854049062,0.9836486359956194,1.0116271439491362,1.0,166372
90,90.0,3.75,2025-01-10T18:00:00,11.517691453623979,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,500.6584895673738,0.9836486359956192,1.0116271439491362,1.0,166372
91,91.0,3.7916666666666665,2025-01-10T19:00:00,10.945584412271572,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,506.95349372984145,0.9836486359956191,1.0116271439491362,1.0,166372
92,92.0,3.8333333333333335,2025-01-10T20:00:00,10.2,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,513.248497892309,0.983648635995619,1.0116271439491362,1.0,166372
93,93.0,3.875,2025-01-10T21:00:00,9.331748562369075,225.0,0.0,166372.0,213.0,327.0,31327.914238560556,6265582.847712111,734417.1522878889,519.5435020547767,0.9836486359956189,1.0116271439491362,1.0,166372
